Program,Organization,Services Offered,Who They Serve,Next Steps / Contact & Location
Outpatient Nutrition,Fountain Valley Regional & Medical Center,"- Nutrition services for chronic illnesses
- Medical nutrition therapy, dietitian consults
- Some insurance acceptance","- Adults, teens, children, seniors
- Chronic illness
- Low-income or general","Phone: 833-266-5387
Location: 11250 Warner Ave, Fountain Valley, CA 92708
Hours: Closed Now; see hours"
Cooking & Meal Prep,Alliance of Abilities,"- Teaches adults w/ intellectual disabilities or brain injuries to cook simple meals
- Focus on nutrition, budgeting, etc.","- Adults, teens, seniors
- Intellectual disability, brain injury
- Possibly mental health","Phone: 714-542-0855
Email**: info@allianceofabilities.org
Location: 2043 N Broadway, Santa Ana, CA 92706
Hours: Closed Now"
La Playa Center,South County Crosscultural Council,"- Free English-as-a-Second Language (ESL) classes
- Free childcare onsite
- Workshops on nutrition, parenting, etc.","- All ages
- Families w/ children
- Limited English","Phone: 949-715-2665
Email**: laplayaenglish@gmail.com
Location: 1085 Laguna Canyon Frontage Rd, Laguna Beach, CA 92651
Hours: Closed Now"
Community Transition Program,"Westview Services, Inc.","- Activities for participants w/ disabilities
- Promotes independence, life skills, social engagement
- Could include nutrition, exercise, job readiness","- Adults, teens, seniors
- All disabilities","Phone: 714-517-6606
Website: Westview Services
Location**: 10522 Katella Ave, Anaheim, CA 92804
Hours vary"
Building Community,Helping Hand Worldwide,"- Improving quality of life of recipients
- Possibly nutritional/health workshops or referrals
- Volunteer-based community approach","- Seniors
- Individuals & families","Website: Helping Hand Worldwide
Location: 31121 Holly Dr, Laguna Beach, CA 92651
Hours: Closed Now"
Behavioral Health Services,La Palma Intercommunity Hospital,"- Mental & behavioral health
- Possibly group therapy, outpatient
- May include nutrition or physical therapy","- All ages
- All mental health","Phone: 714-670-6081
Email**: lpihinfo@primehealthcare.com
Location: 7901 Walker St, La Palma, CA 90623
Hours: Closed Now"
Thrive Alive,Community Outreach Alliance,"- Workshops & activities for junior high up to out-of-college
- Drug-free music events, mental health support
- Possibly includes healthy cooking or nutrition workshops","- Youth & young adults
- Local community","Phone: 949-257-2286
Website: Community Outreach Alliance
Serves local area; Open 24 Hours (per text)"
Nutrition Education Classes,The Whole Child,"- Evidence-based curricula in schools/communities
- Reduce obesity among high-disparity areas
- Teaches healthy eating, cooking, etc.","- Anyone in need
- All ages
- Families
- Limited English or low-income","Phone: 562-692-0383
Location: (various in local area, text references Whittier) 
Hours vary"
Adult Education,La Casa de San Gabriel Community Center,"- ESL, nutrition workshops, parenting classes, family planning
- Support for adult learners in a welcoming environment","- Adults/parents
- Limited English
- Possibly domestic violence survivors","Phone: 626-286-2144
Email**: info@lacasacommunitycenter.org
Location: 203 E Mission Rd, San Gabriel, CA 91776
Hours: Closed Now"
Veterans Services - Career Center,AMVETS,"- Free career training & employment help
- Resume building, interview prep
- Possibly health or nutrition resources (less clear)","- Adults 18+
- Veterans, active duty, guard/reserve
- Families/dependents","Phone: 301-459-9600
Website: AMVETS
Serves local area; hours vary"
Meal Support Program,Project HEAL,"- Free, accessible, eating-disorder-informed meal support
- Facilitated, virtual drop-in group sessions
- Over age 16, outpatient level of care","- Teens (16+) & adults
- ED or disordered eating
- LGBTQ-friendly, inclusive","Website: Project HEAL
Serves your state; hours vary"
Health & Wellness Coaching,Stand Beside Them,"- Coaches help veterans with solutions-based approach
- Focus on mental & physical well-being, stress mgmt, nutrition
- Virtual sessions","- Adults 18+
- Veterans
- Anxiety, PTSD, or general wellness","Website: Stand Beside Them
Phone: 212-706-8387
Serves your state; hours vary"
Nutrition Services,Moor Out of Life,"- Support & education for a healthier lifestyle
- Helps clients get the most out of their food
- Possibly includes personal coaching","- Adults, teens, seniors
- Chronic illness
- Low-income, benefit recipients","Phone: 929-324-0334
Location: 600 W Manchester Ave, Los Angeles, CA 90004 (from text)
Hours: Closed Now; see hours"
Nutrition Workshops,Cancer Survivor Care,"- Webinars on key nutrition & cancer topics
- Info-sharing with Q&A
- Virtual; aimed at supporting cancer survivors","- All ages
- Cancer patients/survivors","Website: (not listed explicitly, “Cancer Survivor Care” mentioned)
Serves your state; hours vary"
